PERIODO;NOMBRE;GÉNERO;AÑO DE NACIMIENTO;CODIGO DANE;DEPARTAMENTO DE NACIMIENTO;CIUDAD DE NACIMIENTO;PARTIDO;NÚMERO DE VOTOS;COMISIÓN CONSTITUCIONAL;COMISIÓN LEGAL;CORREO ELECTRÓNICO;TWITTER;FACEBOOK;PAGINA WEB;TELEFONO;EXT
2018-2022;Castellanos Emma Claudia;Femenino;4 de mayo de 1960;11;Distrito Capital;Bogotá;Cambio Radical;66,601;Segunda;Comisión de Derechos Humanos. Comisión de Administración. Comisión Asesora de Relaciones Exteriores.;emma.castellanos@senado.gov.co;@EmmaClaudiaC;facebook.com/emmaclaudiacastellanos;https://emmaclaudiacastellanos.com/;57(1) - 382300;3,23
2018-2022;Castilla Salazar Jesús Alberto;Masculino;18 de marzo de 1968;54;Norte de Santander;Convención;Polo Democrático Alternativo;27,744;Séptima;ND;utl.albertocastilla@gmail.com;@Castillasenador;facebook.com/CastillaSenador;http://www.albertocastillasenador.com/;57(1) - 382300;3,164
2018-2022;Castillo Suárez Fabián Gerardo;Masculino;4 de noviembre del 1968;47;Magdalena;Cienaga;Cambio Radical;78,845;Séptima;ND;fabian.castillo@senado.gov.co;@fabiangcs;facebook.com/fabiangcastillos/;ND;57(1) - 382300;3,242
2018-2022;Castro Córdoba Juan Luis;Masculino;12 de febrero de 1975;5;Antioquia;Medellin;Alianza Verde;22,117;Cuarta;Comisión de Ética y Estatuto del Congresista;juan.castro@senado.gov.co;@JuanLuisCasCo;facebook.com/JuanLuisCasCo;http://juanluiscastro.co/;57(1) - 382300;3,057
2018-2022;Cepeda Castro Iván;Masculino;24 de octubre de 1962;11;Distrito Capital;Bogotá;Polo Democrático Alternativo;77,842;Segunda;ND;Ivancepedacongresista@gmail.com;@IvanCepedaCast;facebook.com/IvanCepedaCastro/;http://www.ivancepedacastro.com/;57(1) - 382300;4,416
2018-2022;Cepeda Sarabia Efraín José;Masculino;24 de mayo de 1950;8;Atlantico;Barranquilla;Conservador;117,059;Tercera;ND;efrain.cepeda@senado.gov.co;ND;ND;http://efraincepeda.com/;57(1) - 382300;0
2018-2022;Chagui Spath Ruby Helena;Femenino;25 de mayo de 1981;23;Cordoba;Cerete;Centro Democrático;31,589;Sexta;Comisión Legal para la Equidad de la Mujer;ruby.chagui@senado.gov.co;@Rubychagui;facebook.com/RubyChaguiCD9/;https://www.rubychagui.co/;57(1) - 382300;5,3
2018-2022;Char Chaljub Arturo;Masculino;5 de Noviembre de 1967;8;Atlantico;Barranquilla;Cambio Radical;126,628;Cuarta;ND;arturo.char@senado.gov.co;@arturocharc;facebook.com/arturo.char;ND;57(1) - 382300;3,474
2018-2022;Corrales Escobar Alejandro;Masculino;18 de Marzo de 1976;66;Risaralda;Belen de Umbria;Centro Democrático;30,83;Quinta;ND;alejandro.corrales@senado.gov.co;@AlejoCorralesCD;facebook.com/SenadorAlejandro/;https://jcaro440.wixsite.com/centrodemocratico/corrales;57(1) - 382300;3,531
2018-2022;Cristo Bustos Andrés;Masculino;18 de enero del 1971;54;Norte de Santander;Cucuta;Liberal;67,449;Tercera;Comisión de Ética y Estatuto del Congresista;andres.cristo@senado.gov.co;@andrescristob;facebook.com/andrescristob/;http://www.andrescristo.com;57(1) - 382300;3,062
2018-2022;Díaz Contreras Edgar Jesús;Masculino;15 de Febrero de 1961;54;Norte de Santander;Chinacosta;Cambio Radical;81,082;Tercera;ND;edgarjesus.diaz@senado.gov.co;@EdgarDiazPaLant;facebook.com/EdgarDiazPaLante/;ND;57(1) - 382300;3,674
2018-2022;Díaz Granados Luis Eduardo;Masculino;15 de julio de 1970;8;Atlantico;Barranquilla;Cambio Radical;112,591;Segunda;ND;luis.diaz@senado.gov.co;@LuisDiazGranad;facebook.com/luis.e.granados.14;ND;57(1) - 382300;3,338
2018-2022;Durán Barrera Jaime Enrique;Masculino;3 de agosto de 1970;68;Santander;San Gil;Liberal;69,487;Segunda;Comisión Legal de Seguimiento a las Actividades de Inteligencia y Contrainteligencia;jaime.duran.barrera@senado.gov.co;@jaimeduranbar;facebook.com/JaimeDuranLiberal/;http://www.jaimeduransenadoyedgargomezcamara.com/;57(1) - 382300;3,659
2018-2022;Fortich Sánchez Laura Ester;Femenino;26 de febrero de 1983;47;Magdalena;Santa Marta;Liberal;62,878;Séptima;Comisión Legal para la Equidad de la Mujer;laura.fortich@senado.gov.co;@LauraFortichsan;facebook.com/laurafortichs14/;;57(1) - 382300;3,345
2018-2022;Gallo Cubillos Julián;masculino;24 DE MARZO DE 1961;11;Distrito Capital;Bogotá;Comunes;ND;Primera;ND;julian.gallo@senado.gov.co;@Carlozada_FARC;facebook.com/Carlozada.Farc;http://www.partidofarc.com.co/;57(1) - 382300;3,083
2018-2022;Galvis Méndez Daira de Jesus;Femenino;4 de Octubre de 1953;13;Bolivar;Cartagena;Cambio Radical;73,687;Quinta;Comisión de Derechos Humanos;daira.galvis.mendez@senado.gov.co;@dairagalmen;facebook.com/DairaFirmeConlaGente;http://www.dairagalvis.com;57(1) - 382300;5,287
2018-2022;García Burgos Nora María;Femenino;15 de mayo de 1956;23;Cordoba;Monteria;Conservador;96,926;Quinta;Comisión Legal para la Equidad de la Mujer;nora.garcia@senado.gov.co;@noragarciab;facebook.com/noragarciab;ND;57(1) - 382300;3,317
2018-2022;García Gómez Juan Carlos;Masculino;01 de enero de 1979;54;Norte de Santander;Cucuta;Conservador;70,347;Primera;ND;juan.garcia@senado.gov.co;ND;ND;ND;57(1) - 382300;0
2018-2022;García Realpe Guillermo;Masculino;17 de noviembre de 1954;52;Nariño;La Cruz;Liberal;64,951;Quinta;Comisión de Acreditación Documental;guillermo.garcia@senado.gov.co;@GGarciaRealpe;facebook.com/GuillermoGarciaRealpe/;http://www.guillermogarciarealpe.com/;57(1) - 382300;3,103
2018-2022;García Turbay Lidio Arturo;Masculino;10 de febrero del 1971;13;Bolivar;El Carmen;Liberal;117,975;Segunda;Comisión Asesora de Relaciones Exteriores;lidio.garcia@senado.gov.co;@Lidiosenado;facebook.com/lidio.turbay;ND;57(1) - 382300;3,034
2018-2022;García Zuccardi Andrés Felipe;Masculino;18 de junio de 1983;13;Bolivar;Cartagena;Partido de la U;72,638;Tercera;ND;info@andresgarciazuccardi.com;@AGarciaZuccardi;facebook.com/AGarciaZuccardi;http://www.andresgarciazuccardi.com/;57(1) - 382300;5,201
2018-2022;Gaviria Vélez José Obdulio;Masculino;18 de Noviembre de 1951;5;Antioquia;La Ceja;Centro Democrático;25,762;Primera;ND;joseobdulio.gaviria@senado.gov.co;@JOSEOBDULIO;facebook.com/josiogaviria;http://www.joseobdulio.com/;57(1) - 382300;3,77
2018-2022;Gnecco Zuleta José Alfredo;Masculino;17 de abril de 1976;20;Cesar;Valledupar;Partido de la U;76,161;Tercera;Comisión Legal de Crédito Público;Juanfelie039@hotmail.com;@JoseAlfreGnecco;facebook.com/josealfredo.gneccozuleta;http://www.cnecuentasclaras.com/ Información:;57(1) - 382300;3,395
2018-2022;Gómez Amin Mauricio;Masculino;31 de marzo de 1982;8;Atlantico;Barranquilla;Liberal;103,301;Tercera;ND;mauricio.gomez@senado.gov.co;@MauricioGomezco;facebook.com/mauriciogomezco;http://www.mauriciogomezconcejo.com/;57(1) - 382300;5,178
2018-2022;Gómez Jiménez Juan Diego;Masculino;26  de noviembre de 1975;5;Antioquia;Medellin;Conservador;74,243;Segunda;Comisión de Derechos Humanos. Comisión Legal de Seguimiento a las Actividades de Inteligencia y Contrainteligencia;diego.gomez@senado.gov.co;@juandiegogj;facebook.com/JuanDiegoGomezJimenez;http://www.cnecuentasclaras.com/;57(1) - 382300;3,705
2018-2022;Gonzalez Rodriguez Amanda Rocio;Femenino;12 de Febrero de 1978;85;Casanare;Aguazul;Centro Democrático;45,505;Sexta;Comisión Legal para la Equidad de la Mujer;utlsenamandagonzalez@gmail.com;@amandarociogon1;facebook.com/amandarociosenadoracd;https://jcaro440.wixsite.com/centrodemocratico/amandarocio;57(1) - 382300;3,188
2018-2022;Guerra de la Espriella Maria del Rosario;Femenino;15 de Octubre de 1961;70;Sucre;Sincelejo;Centro Democrático;28,739;Tercera;ND;maria.guerra@senado.gov.co;@charoguerra;facebook.com/MaRosarioGuerra/;http://mariadelrosarioguerra.co/;57(1) - 382300;5,133
2018-2022;Guevara Jorge Eliecer;Masculino;10 de diciembre de 1955;86;Putumayo;Puerto Leguizamo;Alianza Verde;20,769;Sexta;ND;jorge.guevara@senado.gov.co;@SenadorJGuevara;facebook.com/jorge.e.guevara.5;http://www.jorgeguevarasenador.net;57(1) - 382300;0
2018-2022;Guevara Villabon Carlos Eduardo;Masculino;29 de enero de 1977;11;Distrito Capital;Bogotá;Partido Mira;66,458;Primera;ND;carlos.guevara@senado.gov.co;@carlos_guevara;facebook.com/carloseduardo.guevara;http://www.carloseduardoguevara.co;57(1) - 382300;3,582
2018-2022;Henríquez Pinedo Honorio Miguel;Masculino;27 de julio de 1971;47;Magdalena;Santa Marta;Centro Democrático;33,432;Séptima;Comisión de Administración;honorio.henriquez@senado.gov.co;ND;ND;https://www.centrodemocratico.com/;57(1) - 382300;3,227
2018-2022;Holguín Moreno Paola Andrea;Femenino;12 de Noviembre de 1973;5;Antioquia;Medellin;Centro Democrático;58,005;Segunda;Comisión Legal de Seguimiento a las Actividades de Inteligencia y Contrainteligencia. Comisión Asesora de Relaciones Exteriores.;paola.holguin@senado.gov.co;@PaolaHolguin;facebook.com/paolaholguinm/;http://paolaholguin.com/;57(1) - 382300;3,316
2018-2022;Hoyos Giraldo Germán Darío;Masculino;22 de noviembre de 1066;5;Antioquia;Guatape;Partido de la U;72,289;Tercera;ND;german.hoyos.giraldo@senado.gov.co;@GermanHoyos;facebook.com/germanhoyosg5/;http://www.cnecuentasclaras.com/;57(1) - 382300;3,362
2018-2022;Jiménez López Carlos Abraham;Masculino;28 de Abril de 1982;76;Valle del Cauca;Yumbo;Cambio Radical;79,306;Cuarta;Comisión de Ética y Estatuto del Congresista;carlos.jimenez@senado.gov.co;ND;facebook.com/abrahamcongreso/;http://www.partidocambioradical.org/portfolios/rodrigo-lara-6-2-2/;57(1) - 382300;3,301
2018-2022;Lara Restrepo Rodrigo;Masculino;12 de mayo de 1975;41;Huila;Neiva;Cambio Radical;90,413;Primera;ND;rodrigo.lara@senado.gov.co;ND;facebook.com/RodrigoLaraR/;http://www.rodrigolara.com.co/;57(1) - 382300;4,092
2018-2022;Lemos Uribe Juan Felipe;Masculino;12 de julio de 1977;5;Antioquia;Andes;Partido de la U;82,094;Cuarta;ND;juan.lemos@senado.gov.co;ND;facebook.com/JFLemosU/;http://www.juanfelipelemosuribe.com/;57(1) - 382300;0
2018-2022;Lizarazo Cubillos Aydee;Femenino;18 de febrero de 1965;63;Quindio;Calarca;Partido Mira;57,428;Séptima;Comisión de Derechos Humanos;aydee.lizarazo@senado.gov.co;@aydeelizarazoc;facebook.com/aydee.lizarazocubillos/;https://aydeelizarazo.com/;57(1) - 382300;3,539
2018-2022;Lobo Chinchilla Didier;Masculino;13 de Octubre de 1971;20;Cesar;La Jagua de Ibirico;Cambio Radical;86,744;Quinta;ND;didier.lobo@senado.gov.co;@DidierLobo_Ch;facebook.com/didier.senador.1;http://www.didierlobosenador.com;57(1) - 382300;3,678
2018-2022;Lobo Silva Sandra Ramirez;Femenino;15 de Mayo de 1963;68;Santander;La Paz;Comunes;ND;Sexta;Comisión de Derechos Humanos;criselda.lobo@senado.gov.co;@SandraFARC;facebook.com/SandraRamirezFARC/;http://www.partidofarc.com.co/;57(1) - 382300;3,702
2018-2022;Londoño Ulloa Jorge Eduardo;Masculino;25 de Novienbre de 1960;5;Antioquia;Medelliín;Alianza Verde;64,216;Quinta;ND;jorge.londono@senado.gov.co;@jorgelondonou;facebook.com/jorgeelondonou;ND;57(1) - 382300;3,266
2018-2022;López Maya Alexánder;Masculino;26 de junio de 1967;76;Valle del Cauca;Cali;Polo Democrático Alternativo;84,229;Primera;Comisión de Derechos Humanos;alexander.lopez.maya@senado.gov.co;@AlexLopezMaya;facebook.com/AlexLopezMaya;http://www.alexanderlopezmaya.com.co/;57(1) - 382300;3,571
2018-2022;López Peña José Ritter;Masculino;21 de Diciembre de 1958;76;Valle del Cauca;Palmira;Partido de la U;87,394;Séptima;ND;ritterasistente@gmail.com;@Ritterlopez;facebook.com/Ritterlopez;http://www.ritterlopez.com;57(1) - 382300;3,282
2018-2022;Lozano Correa Angelica Listbeth;Femenino;7 de mayo de 1976;11;Distrito Capital;Bogotá;Alianza Verde;105,7;Primera;Comisión de Administración;angelicalozano.publico@gmail.com;@AngelicaLozanoC;facebook.com/angelicalozanocorrea;http://angelicalozano.co/;57(1) - 382300;3,441
2018-2022;Macías Tovar Ernesto;Masculino;26 de Junio de 1955;41;Huila;Garzón;Centro Democrático;39,669;Segunda;ND;ernesto.macias@senado.gov.co;@ernestomaciast;facebook.com/ernestomaciast;ND;57(1) - 382300;5,099
2018-2022;Martínez Aristizábal Maritza;Femenino;13 de Julio de 1968;50;Meta;Villavicencio;Partido de la U;64,934;Quinta;Comisión de Acreditación Documental. Comisión Legal para la Equidad de la Mujer;maritza.martinez.aristizabal@senado.gov.co;@Maritza_Senado;facebook.com/maritzasenadora.latribupza;http://www.maritzamartinezaristizabal.com/;57(1) - 382300;3,288
2018-2022;Marulanda Gómez Luis Iván;Masculino;4 de Junio de 1946;66;Risaralda;Pereira;Alianza Verde;26,169;Tercera;ND;ivanmarulandasenador@gmail.com;@ivanmarulanda;facebook.com/IvanMarulandaGomez;http://ivanmarulanda.com;57(1) - 382300;3,309
2018-2022;Meisel Vergara Carlos Manuel;Masculino;18 de Mayo de 1985;8;Atlantico;Barranquilla;Centro Democrático;27,284;Cuarta;ND;carlos.meisel@senado.gov.co;@carlosmeiselv;facebook.com/carlosmeiselv/;https://jcaro440.wixsite.com/centrodemocratico/meisel;57(1) - 382300;3,444
2018-2022;Mejía Mejía Carlos Felipe;Masculino;29 de Octubre de 1969;17;Caldas;Manizales;Centro Democrático;28,985;Quinta;Comisión de Ëtica y Estatuto del Congresista;carlos.mejia@senado.gov.co;@CARLOSFMEJIA;facebook.com/senadorcarlosfelipemejia/;https://jcaro440.wixsite.com/centrodemocratico/carlosfelipemejia;57(1) - 382300;3,295
2018-2022;Merheg Marun Juan Samy;Masculino;4 de Abril de 1967;66;Risaralda;Pereira;Conservador;81,078;Cuarta;Comisión de Acreditación Documental;juan.merheg.marun@senado.gov.co;@Samy_Merheg;facebook.com/SamyMerheg;http://www.cnecuentasclaras.com/;57(1) - 382300;3,36
2018-2022;Motoa Solarte Carlos Fernando;Masculino;24 de octubre de 1975;76;Valle del Cauca;Palmira;Cambio Radical;78,864;Séptima;ND;cmotoa@hotmail.com;ND;ND;http://www.cnecuentasclaras.com/;57(1) - 382300;3,717
2018-2022;Name Cardozo José David;Masculino;18 de Noviembre de 1968;8;Atlantico;Barranquilla;Partido de la U;86,765;Quinta;ND;Emontero@josename.com;@josedavidname;facebook.com/tomasinosconjosedavidname/;http://www.josedavidname.com/;57(1) - 382300;3,384
2018-2022;Name Vásquez Iván Leonidas;Masculino;18 de Junio de 1957;8;Atlantico;Barranquilla;Alianza Verde;38,988;Primera;ND;ivan.name.vasquez@senado.gov.co;@senadorivanname;facebook.com/ivannamevasquez;ND;57(1) - 382300;3,205
2018-2022;Ortega Narváez Temístocles;Masculino;21 de Octubre de 1954;19;Cauca;Mercaderes;Cambio Radical;63,592;Primera;ND;temistocles.ortega@senado.gov.co;@temisortega;facebook.com/ temistocles.ortega;http://www.temistoclesortega.com/;57(1) - 382300;3,266
2018-2022;Ortíz Nova Sandra Liliana;Femenino;6 de Marzo de 1977;15;Boyacá;Tunja;Alianza Verde;27,176;Quinta;Comisión de Acreditación Documental. Comisión Legal para la Equidad de la Mujer;sandra.ortiz@senado.gov.co;@sandraortizn;facebook.com/sandraortizoficial;ND;57(1) - 382300;3,708
2018-2022;Pacheco Cuello Eduardo Emilio;Masculino;24 de Octubre de 1953;47;Magdalena;Santa Marta;Colombia Justa y Libre;ND;Quinta;ND;eduardo.pacheco@senado.gov.co;@PachecoCuello;ND;ND;57(1) - 382300;3,387
2018-2022;Palacio Mizrahi Edgar Enrique;Masculino;24 de Junio de 1970;8;Atlantico;Barranquilla;Colombia Justa y Libre;ND;Tercera;Comisión de Derechos Humanos;edgar.palacio@senado.gov.co;@epalaciosenado;facebook.com/edgar.palaciomizrahi;ND;57(1) - 382300;3,686
2018-2022;Palchucan Chingal Manuel Bitervo;Masculino;27 de Septiembre de 1965;52;Nariño;Carlosama;Movimiento Autoridades Indigenas de Colombia;34,957;Séptima;ND;manuel.palchucan@senado.gov.co;@SenadorBitervo;facebook.com/Manuel-Bitervo-Palchucan-Chingal-Senador-2014-2018-734848289865477/;http://senadorbitervo.com/;57(1) - 382300;5,024
2018-2022;Paredes Aguirre Myriam Alicia;Femenino;3 de Junio de 1956;52;Nariño;Guachucal;Conservador;78,828;Cuarta;ND;myriam.paredes.aguirre@senado.gov.co;@senadoramyriamp;facebook.com/myriamalicia.paredesaguirre;http://www.cnecuentasclaras.com/;57(1) - 382300;3,556
2018-2022;Pérez Oyuela José Luis;Masculino;21 de Abril de 1964;76;Valle del Cauca;Cali;Cambio Radical;70,069;Segunda;ND;jose.perez@senado.gov.co;ND;facebook.com/JoseLuisPerez2018;ND;57(1) - 382300;3,06
2018-2022;Pérez Vásquez Nicolás;Masculino;3 de Octubre de 1978;5;Antioquia;Medellín;Centro Democrático;28,983;Cuarta;ND;oficinabogotanpv@gmail.com;@nperezvasquez;facebook.com/pg/nicolasperezva/about/?ref=page_internal;https://www.centrodemocratico.com/;57(1) - 382300;4,012
2018-2022;Petro Urrego Gustavo Francisco;Masculino;19 de Abril de 1960;23;Cordoba;Cienaga de Oro;Colombia Humana;ND;Primera;ND;gustavo.petro@senado.gov.co;@petrogustavo;facebook.com/gustavopetrourrego;http://www.petro.com.co;57(1) - 382300;3,052
2018-2022;Pinto Hernandez Miguel Angel;Masculino;14 de Novienbre de 1961;68;Santander;Bucaramanga;Liberal;84,068;Primera;Comisión de Ëtica y Estatuto del Congresista;miguel.pinto@senado.gov.co;@MiguelPintoH1;facebook.com/miguelangel.pintohernandez.3;ND;57(1) - 382300;5,402
2018-2022;Polo Narváez José Aulo;Masculino;18 de Julio e 1950;52;Nariño;Ipiales;Alianza Verde;34,287;Sexta;Comisión de Derechos Humanos;jose.polo@senado.gov.co;@AuloPoloSenador;facebook.com/jose.aulopolo.520;ND;57(1) - 382300;3,436
2018-2022;Ramírez Cortes Ciro Alejandro;Masculino;31 de Octubre de 1984;15;Boyacá;Moniquira;Centro Democrático;36,677;Tercera;Comisión de Acreditación Documental;ciro.ramirez@senado.gov.co;@ciroaramirez;facebook.com/ciroalejandroramirez;http://www.ciroalejandro.com;57(1) - 382300;3,431
2018-2022;Robledo Castillo Jorge Enrique;Masculino;11 de Febrero de 1950;73;Tolima;Ibague;Polo Democrático Alternativo;226,099;Quinta;ND;robledosenado@gmail.com;@JERobledo;facebook.com/jorge.robledo.castillo/;https://forms.contacta.io/5e8bbc5626dfeabe9d0912f6.html;57(1) - 382300;304
2018-2022;Rodríguez González Jhon Milton;Masculino;18 de Septiembre de 1969;76;Valle del Cauca;Cali;Colombia Justa y Libre;ND;Cuarta;Comisión de Ëtica y Estatuto del Congresista;john.rodriguez@senado.gov.co;@JhonMiltonR;facebook.com/JhonMiltonR/about/;https://www.johnmiltonrodriguez.com/;57(1) - 382300;3,843
2018-2022;Rodríguez Rengifo Roosvelt;Masculino;26 de Julio de 1957;76;Valle del Cauca;Tulua;Partido de la U;103,057;Primera;Comisión de Derechos Humanos;roosvelt.rodriguez@senado.gov.co;@roosveltsenado;facebook.com/roosvelt.rodriguezrengifo.9;ND;57(1) - 382300;3,446
2018-2020;Romero Soto Milla Patricia;Femenino;1965;54;Norte de Santander;Cucuta;Centro Democrático;ND;ND;ND;milla.romero@senado.gov.co;ND;ND;ND;ND;0
2018-2022;Sanguino Páez Antonio Eresmid;Masculino;1 de Junio de 1965;54;Norte de Santander;Ocaña;Alianza Verde;22,332;Segunda;Comisión Asesora de Relaciones Exteriores;senadorsanguino@gmail.com;@antoniosanguino;facebook.com/antonio.sanguino.79;http://www.antoniosanguino.co;57(1) - 382300;3,341
2018-2022;Serpa Moncada Horacio Jose;Masculino;20 de Junio de 1982;68;Santander;Barrancabermeja;Liberal;91,407;Sexta;ND;horaciojose.serpa@senado.gov.co;@HoracioJSerpa;facebook.com/HoracioJSerpa;ND;57(1) - 382300;5,49
2018-2022;Simanca Herrera Victoria Sandino;Femenino;15 de Julio de 1965;23;Cordoba;Tierra alta;Comunes;ND;Séptima;ND;victoria.sandino@senado.gov.co;@SandinoVictoria;facebook.com/VictoriaSandinoPaz/;http://www.partidofarc.com.co/;57(1) - 382300;3,21
2018-2022;Suárez Vargas John Harold;Masculino;12 de Octubre de 1968;76;Valle del Cauca;Buga;Centro Democrático;26,76;Segunda;Comisión Legal de Seguimiento a las Actividades de Inteligencia y Contrainteligencia;john.suarez@senado.gov.co;@jhsuarezv;facebook.com/jhsuarezv;https://www.centrodemocratico.com/;57(1) - 382300;3,663
2018-2022;Tamayo Pérez Jonatan;Masculino;20 de Noviembre de 1985;5;Antioquia;Medellín;Alianza Social Independiente;14,885;Sexta;ND;jonatan.tamayo@senado.gov.co;@jonatantamayop;facebook.com/jonatantamayosenador/;ND;57(1) - 382300;3,52
